community,self_retention,entropy,dominant_target,stationary,total_flow
9,0.7466,1.5986,14,0.269331,56473
6,0.4662,2.7405,4,0.147769,30984
4,0.4965,2.5983,6,0.14406,30208
10,0.4344,2.7883,4,0.107619,22564
14,0.5529,2.3303,9,0.104107,21829
11,0.5138,2.5425,6,0.036255,7602
7,0.4293,2.8032,6,0.035626,7470
5,0.4141,2.8376,6,0.029841,6257
8,0.3736,2.9358,6,0.029383,6161
2,0.5736,2.3308,6,0.028677,6013
15,0.5094,2.5701,6,0.021919,4596
16,0.3507,2.993,4,0.020193,4234
1,0.4238,2.8211,6,0.020112,4217
3,0.389,2.9129,9,0.002342,491
13,0.3478,3.0638,4,0.001974,414
12,0.4604,2.7197,6,0.000663,139
0,0.3704,2.4885,4,0.000129,27
